"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"606",10,-7,28,0,3.46694257850713
"607",10,-7,29,0,3.68516961559006
"608",10,-7,30,0,3.89229302118403
"609",10,-6,-6,0,0
"610",10,-6,-5,0,0
"611",10,-6,-4,0,0
"612",10,-6,-3,0,0
"613",10,-6,-2,5.18307573821042e-08,0
"614",10,-6,-1,1.11778768127832e-06,0
"615",10,-6,0,2.09941173920409e-05,0
"616",10,-6,1,0.000388863509150055,0
"617",10,-6,2,0.00701905299269283,0
"618",10,-6,3,0.103823681084116,0
"619",10,-6,4,0.320720657443236,0
"620",10,-6,5,0.350006357275908,0.0128876057835527
"621",10,-6,6,0.389917668501152,0.070289534643558
"622",10,-6,7,0.38177089071962,0.183829961185958
"623",10,-6,8,0.414014079851149,0.361685202737236
"624",10,-6,9,0.397366633023702,0.602121685750095
"625",10,-6,10,0.37228999123406,0.902617237956165
"626",10,-6,11,0.415095034920682,1.26068282037636
"627",10,-6,12,0.370591497529535,1.67121635178544
"628",10,-6,13,0.365773842756548,2.12652151677093
"629",10,-6,14,0.341171480189995,2.61787557374434
"630",10,-6,15,0.320685344062687,3.13661498988839
"631",10,-6,16,0.292999301116394,3.67438742004917
"632",10,-6,17,0.297580914999441,4.22215558160668
"633",10,-6,18,0.314395162028082,4.76992419608878
"634",10,-6,19,0.284451542290414,5.30769339553964
"635",10,-6,20,0.195206233172887,5.82588762680149
"636",10,-6,21,0.0313471197382233,6.3163622755285
"637",10,-6,22,0,6.77122910616162
"638",10,-6,23,0,7.1830998085805
"639",10,-6,24,0,7.54570297943068
"640",10,-6,25,0,5.64478711179437
"641",10,-6,26,0,5.13729091500348
"642",10,-6,27,0,5.01015637585591
"643",10,-6,28,0,3.62511049229763
"644",10,-6,29,0,3.8477595969354
