"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-9,20,0.422607288771767,109.931612289856
10,-9,21,0.426489177099117,119.814441938259
10,-9,22,0.393223265123836,129.135896826718
10,-9,23,0.0647132409176515,137.749347118075
10,-9,24,0,145.522713828681
10,-9,25,0,152.350366299931
10,-9,26,0,154.074320437507
10,-9,27,0,150.70841659903
10,-9,28,0,147.103627971681
10,-9,29,0,140.078960740502
10,-9,30,0,131.493372917948
10,-8,-5,9.36814291761424e-06,0
10,-8,-4,4.30228472136886e-05,0
10,-8,-3,0.000203372124295801,0
10,-8,-2,0.000968378702574335,0
10,-8,-1,0.00458315673092295,0
10,-8,0,0.0211662136277028,0
10,-8,1,0.0894105090682513,0
10,-8,2,0.282452972137952,0
10,-8,3,0.513753717075805,0
10,-8,4,0.558178756096261,0
10,-8,5,0.558546479375379,0.233857920161609
10,-8,6,0.602859900870418,1.25859273086128
10,-8,7,0.581762133275309,3.32570546795549
10,-8,8,0.639196594484947,6.55160892978155
10,-8,9,0.606634977519505,11.0040734655814
10,-8,10,0.60312737410226,16.6042806037681
10,-8,11,0.611275402593903,23.288271914734
10,-8,12,0.636554267488309,30.9887071085094
10,-8,13,0.617933455329543,39.6029710490123
10,-8,14,0.581830213289475,48.9905888553459
10,-8,15,0.577567963504455,58.9798849547526
10,-8,16,0.57597605005002,69.3958125736067
10,-8,17,0.523272427621701,80.0662244815366
10,-8,18,0.497587580093707,90.828059078196
10,-8,19,0.45522751892312,101.518692879495
10,-8,20,0.465406600536658,111.962831331214
10,-8,21,0.452638071538328,121.988342781696
10,-8,22,0.396710103366832,131.432973928418
10,-8,23,0.0970189398449556,140.149231315231
10,-8,24,0,148.020492299045
10,-8,25,0,154.946127667691
10,-8,26,0,156.616903621465
10,-8,27,0,153.32309165818
10,-8,28,0,149.69185717815
10,-8,29,0,142.277033935306
10,-8,30,0,133.766823415891
10,-7,-5,1.20380000084938e-05,0
10,-7,-4,5.0196494838413e-05,0
10,-7,-3,0.000226344647261932,0
10,-7,-2,0.00105030563878518,0
10,-7,-1,0.00488848620651614,0
10,-7,0,0.0223235834467265,0
10,-7,1,0.0933764752449025,0
10,-7,2,0.292277572114191,0
10,-7,3,0.525953640342484,0
10,-7,4,0.569332541126506,0
10,-7,5,0.58430997524242,0.241530598629562
10,-7,6,0.606582547115716,1.30931778122177
10,-7,7,0.614328611796041,3.43863813757615
10,-7,8,0.660760664947026,6.77862977279289
10,-7,9,0.604503824465368,11.3461323215922
10,-7,10,0.620971140006956,17.0717175710545
10,-7,11,0.653839307216229,23.9089802248963
10,-7,12,0.651092610206411,31.7846803935093
10,-7,13,0.632473475507315,40.5811762859074
10,-7,14,0.575670150663128,50.1408556164185
10,-7,15,0.588382935627066,60.2949923661883
10,-7,16,0.577910556379486,70.8763952559116
10,-7,17,0.509318324740639,81.724886525429
10,-7,18,0.501367904001405,92.6745269993532
10,-7,19,0.498940864272028,103.54225022061
10,-7,20,0.483323585912565,114.146369368505
10,-7,21,0.431456771651786,124.311312379266
